Station Name: MALIN HEAD
Station Height: 20 M 
Latitude:55.372  ,Longitude: -7.339


date:   -  00 to 00 utc
rain:   -  Precipitation Amount (mm)
maxtp:  -  Maximum Air Temperature (C)	  
mintp:  -  Minimum  Air Temperature (C)
gmin:   -  09utc Grass Minimum Temperature (C)
soil:   -  Mean 10cm Soil Temperature (C)
wdsp:   -  Mean Wind Speed (knot)
hm:     -  Highest ten minute mean wind speed (knot)		                 
ddhm:   -  Wind Direction at max 10 min. mean (deg)                  
hg:     -  Highest Gust (knot)
cbl:    -  Mean CBL Pressure (hpa)
sun:    -  Sunshine duration (hours)
pe:     -  Potential Evapotranspiration (mm)				
evap:   -  Evaporation (mm)						
smd_wd: -  Soil Moisture Deficits(mm) well drained		
smd_md: -  Soil Moisture Deficits(mm) moderately drained	
smd_pd: -  Soil Moisture Deficits(mm) poorly drained 	
ind:    -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,glorad,soil,pe,evap,smd_wd,smd_md,smd_pd
01-may-1955,0,9.4,0,6.9,0,3.8,0,7.4,996.2,19.2,2,34,2,70,2,48, , , ,1.0,1.9, , , 
02-may-1955,0,11.2,0,5.7,0,5.9,3,0.0,997.1,14.2,0,24,0,310,0,31, , ,12.300,1.9,3.6, , , 
03-may-1955,0,13.1,0,4.3,0,0.6,0,6.6,989.6,14.8,0,30,0,130,0,48, , ,9.200,1.4,2.4, , , 
04-may-1955,0,12.8,0,7.8,0,6.1,0,4.4,978.3,19.9,0,27,0,230,0,41, , ,9.625,2.0,3.6, , , 
05-may-1955,0,13.2,0,8.1,0,6.6,0,2.7,990.3,16.0,0,24,0,240,0,34, , ,10.775,2.0,3.4, , , 
06-may-1955,0,11.4,0,7.9,0,6.4,0,0.8,1005.4,11.2,0,19,0,320,0,23, , ,11.650,2.7,4.4, , , 
07-may-1955,0,14.3,0,6.4,0,2.3,0,0.5,1010.5,12.8,0,28,0,160,0,41, , ,11.750,2.7,4.2, , , 
08-may-1955,0,16.4,0,9.7,0,7.8,0,1.9,1002.3,14.5,0,22,0,190,0,30, , ,12.275,2.8,4.4, , , 
09-may-1955,0,13.2,0,7.7,0,5.8,0,4.8,998.8,12.9,0,23,0,330,0,32, , ,11.900,2.1,3.6, , , 
10-may-1955,0,7.8,0,4.7,0,4.4,0,0.6,1008.3,20.1,0,31,0,350,0,40, , ,10.725,1.9,3.6, , , 
11-may-1955,0,11.7,0,5.1,0,3.8,0,2.7,1014.0,18.1,0,26,0,260,0,40, , ,10.025,2.4,4.2, , , 
12-may-1955,0,10.4,0,7.2,0,6.2,0,7.8,1004.8,14.1,0,24,0,230,0,34, , ,9.775,1.4,2.2, , , 
13-may-1955,0,9.2,0,4.7,0,3.7,0,3.1,997.8,17.7,0,25,0,310,0,39, , ,9.900,2.3,4.2, , , 
14-may-1955,0,8.7,0,2.9,1,-0.6,0,7.3,999.2,15.1,0,26,0,330,0,39, , ,9.200,2.2,4.0, , , 
15-may-1955,0,8.7,0,1.4,0,1.0,0,6.3,1000.0,15.1,0,28,0,290,0,41, , ,8.500,2.0,3.5, , , 
16-may-1955,0,8.3,0,4.8,0,0.1,0,0.1,1002.8,13.7,0,26,0,360,0,32, , ,9.250,2.8,4.8, , , 
17-may-1955,0,7.9,0,5.5,0,3.6,0,0.1,1005.2,18.9,0,24,0,340,0,32, , ,9.975,2.8,5.2, , , 
18-may-1955,0,8.9,0,4.4,0,2.9,0,0.6,1012.2,21.8,0,29,0,330,0,41, , ,9.750,2.6,4.9, , , 
19-may-1955,0,9.0,0,2.7,0,1.7,0,2.5,1018.3,12.5,0,34,0,310,0,46, , ,10.150,2.4,4.1, , , 
20-may-1955,0,9.3,0,4.9,0,4.4,0,1.2,1021.8,8.8,0,19,0,340,0,26, , ,11.850,2.6,4.1, , , 
21-may-1955,0,12.1,0,5.7,0,2.8,0,0.3,1025.2,11.5,0,25,0,260,0,32, , ,10.725,2.7,4.3, , , 
22-may-1955,0,12.7,0,6.7,0,5.2,0,5.3,1022.9,15.9,0,24,0,240,0,35, , ,10.400,1.3,2.3, , , 
